ID,ovder,ovizq,utero
110082HO,0,0,1
110084HO,0,0,0
110096HO,1,0,1
110098HO,1,0,0
110100HO,1,1,1
110102HO,0,0,1
110106HO,1,0,1
110114HO,1,1,1
110115HO,1,0,1
110115ME,1,0,1
110116HO,1,1,1
110118HO,1,1,1
110120HO,1,1,1
110126HO,1,1,1
110128HO,0,1,1
110135HO,0,0,1
110136HO,1,1,1
110139HO,1,0,0
110139ME,0,1,1
110141HO,1,1,1
110142HO,1,0,1
110154HO,1,1,1
110155HO,1,1,1
110157HO,0,0,0
110158HO,1,0,1
110160HO,1,1,1
110164HO,0,0,1
110165HO,1,0,1
110166HO,1,1,0
110168HO,0,0,1
110177HO,0,0,1
110178HO,0,1,1
110179HO,0,0,1
110182HO,0,0,0
110183HO,1,0,1
110185HO,1,0,1
110188HO,0,0,1
110190HO,0,0,0
110192HO,0,0,0
110198HO,0,1,1
110199HO,1,1,1
110203HO,0,0,1
110204ME,0,0,1
110205HO,1,0,1
110207HO,1,0,1
110208HO,1,0,1
110209HO,1,0,1
110212HO,0,0,1
110212ME,0,0,1
110214HO,0,0,1
110217HO,0,0,0
110220HO,1,1,1
110221HO,1,1,1
110229HO,1,1,1
110232HO,0,0,0
110236HO,1,0,1
110245HO,1,1,1
110250HO,0,0,1
110252HO,0,1,1
110253HO,1,1,1
110256HO,1,1,1
110257HO,1,1,1
110259HO,0,0,1
110260HO,0,0,1
110264HO,0,1,0
110269HO,1,1,1
110275HO,1,0,1
110280HO,0,0,1
110281HO,0,0,0
110282HO,1,1,1
110287HO,1,0,1
110290HO,0,0,1
110291HO,0,1,1
110298HO,0,0,1
110304HO,1,0,1
110305HO,0,0,1
110307HO,0,0,0
110314HO,1,1,1
110316HO,1,0,1
110319HO,1,0,1
110329HO,1,0,1
110335HO,1,1,1
110337HO,1,0,1
110338HO,0,0,1
110339HO,0,0,1
110340HO,0,0,0
110341JE,1,0,1
110342HO,1,0,1
110343HO,1,0,1
110355HO,1,1,0
110358HO,1,0,1
110359HO,1,1,1
110360HO,0,0,1
110367HO,1,1,1
110370HO,1,0,1
110376HO,0,0,1
110382HO,1,1,1
110406HO,1,0,1
110410HO,1,1,1
110412JE,0,1,1
110413HO,0,0,1
110417HO,1,1,1
110424HO,0,0,1
110426HO,1,1,1
110438HO,1,1,1
110439AG,0,0,0
110439HO,1,1,1
110442HO,1,0,1
110443HO,0,0,1
110450HO,1,0,1
110454HO,1,1,1
110462HO,0,0,1
110474,0,0,0
110474HO,1,1,1
110484HO,1,0,0
110485HO,0,0,0
110487HO,0,0,1
110491HO,0,0,0
110513HO,1,1,1
110515HO,0,0,0
110519HO,0,0,1
110520HO,1,1,1
110522HO,0,0,1
110531HO,1,1,1
110532HO,1,1,1
110533HO,1,0,1
110534HO,0,0,1
110539HO,0,1,1
110543HO,0,0,1
110547JE,0,0,1
110554HO,1,0,1
110555HO,0,0,1
110562HO,1,0,1
110563HO,0,0,1
110579HO,0,0,1
110580HO,0,0,1
110587HO,1,1,1
110589HO,1,0,1
110591HO,0,0,0
110609HO,0,0,1
110613HO,0,0,1
110614HO,0,0,1
110615HO,1,0,1
110617HO,1,1,1
110636HO,1,0,1
110639HO,1,0,1
110640HO,0,0,0
110644HO,1,0,1
110654HO,1,1,1
110657HO,0,0,1
110658HO,1,1,1
110659HO,0,0,1
110660HO,0,1,1
110662HO,1,1,1
110664HO,0,0,1
110668HO,1,0,1
110669HO,1,1,1
110670HO,1,1,1
110671HO,0,0,1
110674HO,1,1,1
110687HO,0,0,1
110688HO,1,0,1
110691HO,0,0,1
110693HO,0,0,1
110697HO,1,1,1
110698HO,1,1,1
110705HO,0,0,1
110707AG,0,0,0
110707HO,1,0,1
110708HO,1,1,1
110712HO,1,1,1
110728HO,0,0,1
110735HO,0,0,1
110737HO,1,1,1
110742HO,1,0,1
110745HO,0,1,1
110747HO,0,0,0
110754HO,1,1,1
110769HO,1,1,1
110770HO,1,0,1
110775HO,0,0,1
110783HO,1,1,1
110786HO,1,1,1
110794HO,0,1,1
110797HO,1,0,1
110802HO,0,0,1
110807HO,1,1,1
110810HO,1,0,1
110811HO,0,0,1
110813HO,0,0,1
110814HO,0,0,1
110819HO,1,1,1
110820HO,1,1,1
110829HO,0,0,1
110832HO,1,0,1
110835HO,0,0,1
110837HO,1,1,1
110838HO,1,1,1
110840HO,0,0,0
110841HO,0,1,1
110842HO,1,1,1
110848HO,0,0,1
110853HO,1,0,1
110854HO,1,0,1
110855HO,0,0,0
110856HO,0,0,1
110859HO,1,1,1
110860HO,1,1,1
110866HO,0,0,1
110867HO,1,0,1
110870HO,0,0,0
110873HO,1,1,1
110874HO,0,1,1
110877HO,0,1,1
110879HO,0,0,1
110883HO,1,1,1
110887HO,1,0,1
110894HO,0,1,1
110895HO,0,0,1
110896HO,1,1,1
110897HO,0,0,0
110901HO,1,1,1
110903HO,0,0,1
110904HO,1,1,1
110915HO,1,0,1
110919HO,0,0,0
110923HO,1,1,0
110924HO,0,0,1
110926HO,0,0,1
110930HO,0,0,1
110931HO,1,0,1
110936HO,1,1,1
110939HO,0,0,0
110940HO,0,0,1
110945HO,1,1,1
110946HO,0,0,0
110949HO,0,0,1
110957HO,1,0,1
110961HO,0,0,1
110967HO,0,0,1
110968HO,0,0,1
110969HO,0,1,1
110970HO,1,1,1
110971HO,1,0,1
110972HO,1,0,1
110975HO,0,0,1
110979HO,1,0,0
110982HO,1,1,1
110986HO,1,1,1
110990HO,0,0,1
111003HO,0,1,1
111005HO,1,0,1
111016HO,0,0,1
111019HO,0,0,1
111024HO,1,0,1
111029HO,1,0,1
111031HO,1,1,1
111049HO,0,0,1
111050HO,0,0,1
111053HO,0,0,1
111054HO,1,1,1
111058HO,0,0,0
111068HO,1,1,1
111070HO,1,1,1
111073HO,1,0,1
111084HO,0,1,1
111097HO,1,0,1
111106HO,0,0,1
111109HO,0,0,1
111120HO,0,0,0
111124HO,1,0,1
111126HO,1,0,1
111131HO,0,0,1
111142HO,1,1,1
113389SD,0,1,1
113406SD,0,0,1
113422SD,0,0,1
113481SD,1,1,0
113489SD,0,0,0
113603SD,1,0,1
113639SD,0,0,1
113718SD,1,1,1
113743SD,1,1,1
113762SD,1,0,1
113771SD,0,0,1
113796SD,0,0,1
113800SD,1,0,1
113823SD,1,1,1
113832SD,0,0,1
113838SD,1,0,1
113841SD,1,0,1
113884SD,0,0,1
113886SD,1,1,1
113932SD,0,0,1
113938SD,0,0,1
113942SD,1,0,1
113953SD,0,0,1
113967SD,1,1,1
113969SD,1,0,1
113974SD,0,0,1
113980SD,1,1,1
113986SD,0,0,1
113996SD,0,0,1
114001SD,0,0,1
114004SD,1,1,1
114005SD,0,0,1
114010SD,1,0,1
114017SD,0,1,0
114021SD,0,0,1
114025SD,0,0,1
114029SD,0,0,1
114031SD,1,1,1
114034SD,0,0,1
114036SD,1,0,1
114040SD,0,0,1
114044SD,0,0,1
114046SD,0,0,1
114052SD,1,1,1
114054SD,1,0,1
114060SD,0,0,1
114061SD,0,0,1
114071SD,1,0,1
114082SD,1,0,1
114085SD,1,1,1
114088SD,0,0,1
114089SD,0,0,1
114090SD,1,0,1
114092SD,0,0,1
114093SD,1,0,1
114109SD,1,0,1
114113SD,1,0,1
114115SD,1,0,1
114121SD,1,1,1
114127SD,1,0,1
114133SD,1,0,1
114138SD,1,0,1
114139SD,0,0,1
114141SD,1,0,1
114153SD,0,1,1
114155SD,0,0,1
114161SD,0,0,1
114171SD,0,0,1
114172SD,1,1,1
114173SD,1,1,1
114181SD,1,1,1
114183SD,1,1,1
114187SD,0,0,1
114192SD,1,0,1
114194SD,0,1,1
114195SD,0,0,1
114200SD,0,0,1
114220SD,0,0,1
114232SD,1,0,1
114237SD,0,0,1
114269SD,0,0,1
114273SD,0,0,1
114284SD,0,0,1
114290SD,1,1,1
114294SD,0,0,1
114297SD,1,0,1
114317SD,0,0,1
114336SD,0,0,0
120001CA,1,1,1
120001HO,0,0,0
120001SD,1,1,1
120002SD,0,1,1
120003HO,1,0,1
120004CA,0,0,1
120004HO,1,0,1
120004SD,1,0,1
120005HO,1,1,1
120006CA,1,0,1
120006HO,1,1,1
120007CA,1,1,1
120007SD,0,0,1
120008CA,0,0,1
120008SD,1,1,1
120009CA,1,1,1
120009HO,0,0,1
120009SD,0,0,1
120010CA,0,0,1
120011HO,0,0,0
120011SD,0,0,1
120013SD,1,1,1
120014SD,0,0,1
120015HO,0,0,1
120016HO,0,0,0
120018HO,1,0,1
120020HO,0,0,0
120021HO,0,0,1
120021SD,1,0,1
120022SD,1,0,1
120023HO,1,1,1
120023SD,1,0,1
120024HO,1,0,1
120024SD,1,0,1
120025SD,0,0,1
120026HO,1,0,1
